Bot_Start_Date,Bot_Start_Time,Arb_Time,Exchange,Initial_USD,First_Market,Second_Market,Third_Market,Spread,Estimated_Profit
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.144200,Oanda,5000000,AUD/CHF,AUD/HKD,CHF/HKD,0.0012746317848517652,6373.158924258826
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.200622,Oanda,5000000,SGD/HKD,SGD/JPY,HKD/JPY,0.0009850339991444024,4925.169995722012
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.258909,Oanda,5000000,NZD/CAD,NZD/SGD,CAD/SGD,0.001581387812236823,7906.939061184115
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.317010,Oanda,10000000,EUR/NZD,EUR/CHF,NZD/CHF,0.0011917459429631183,11917.459429631183
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.373872,Oanda,5000000,EUR/SGD,EUR/CHF,SGD/CHF,0.0013093762603852976,6546.881301926488
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.435161,Oanda,5000000,AUD/SGD,AUD/CHF,SGD/CHF,0.0016394174911353865,8197.087455676932
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.493394,Oanda,10000000,EUR/CAD,EUR/CHF,CAD/CHF,0.001367470724172648,13674.70724172648
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.550386,Oanda,10000000,AUD/USD,AUD/CHF,USD/CHF,0.0011359171528633194,11359.171528633195
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.608844,Oanda,10000000,EUR/USD,EUR/CHF,USD/CHF,0.0008078698098874515,8078.698098874515
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.673404,Oanda,5000000,GBP/CAD,GBP/SGD,CAD/SGD,0.0014466424070798123,7233.212035399061
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.734865,Oanda,5000000,SGD/CHF,SGD/JPY,CHF/JPY,0.0011488095381366747,5744.047690683374
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.798396,Oanda,5000000,GBP/AUD,GBP/SGD,AUD/SGD,0.0014698922971159156,7349.461485579578
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.869057,Oanda,10000000,GBP/USD,GBP/SGD,USD/SGD,0.0010806271601464523,10806.271601464523
2020-08-08,16:29:24.420281,2020-08-08 16:29:26.942545,Oanda,5000000,CAD/CHF,CAD/HKD,CHF/HKD,0.0012822252081436947,6411.126040718474
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.010543,Oanda,10000000,EUR/GBP,EUR/CHF,GBP/CHF,0.0012280087632390302,12280.087632390301
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.073789,Oanda,10000000,NZD/USD,NZD/CAD,USD/CAD,0.001084916700927696,10849.167009276962
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.130830,Oanda,5000000,GBP/NZD,GBP/SGD,NZD/SGD,0.0015199086201833634,7599.543100916817
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.190985,Oanda,5000000,CAD/SGD,CAD/HKD,SGD/HKD,0.0012284998978684403,6142.499489342202
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.251677,Oanda,10000000,AUD/CAD,AUD/CHF,CAD/CHF,0.0015212864666009907,15212.864666009906
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.309347,Oanda,10000000,EUR/AUD,EUR/CHF,AUD/CHF,0.0011846276565772307,11846.276565772307
2020-08-08,16:29:24.420281,2020-08-08 16:29:27.370295,Oanda,10000000,AUD/NZD,AUD/CHF,NZD/CHF,0.0015262954230756964,15262.954230756965
