Bot_Start_Date,Bot_Start_Time,Arb_Time,Exchange,Initial_USD,First_Market,Second_Market,Third_Market,Spread,Estimated_Profit
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.171314,Oanda,5000000,AUD/HKD,AUD/JPY,HKD/JPY,0.0017075759195881446,8537.879597940722
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.193815,Oanda,10000000,GBP/NZD,GBP/CAD,NZD/CAD,0.001403586392790368,14035.86392790368
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.216570,Oanda,10000000,AUD/USD,AUD/JPY,USD/JPY,0.001650498064994954,16504.980649949543
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.238754,Oanda,5000000,CAD/CHF,CAD/JPY,CHF/JPY,0.0029702333685079907,14851.166842539953
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.260335,Oanda,5000000,NZD/SGD,NZD/JPY,SGD/JPY,0.003766760547448955,18833.802737244776
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.283078,Oanda,5000000,CAD/HKD,CAD/JPY,HKD/JPY,0.001692296997044096,8461.48498522048
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.306741,Oanda,5000000,AUD/CAD,AUD/JPY,CAD/JPY,0.00201800893302595,10090.04466512975
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.329762,Oanda,5000000,AUD/SGD,AUD/JPY,SGD/JPY,0.003119298475180665,15596.492375903326
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.351441,Oanda,5000000,SGD/CHF,SGD/JPY,CHF/JPY,0.0037317948752924046,18658.97437646202
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.373485,Oanda,5000000,NZD/HKD,NZD/JPY,HKD/JPY,0.002358773233535061,11793.866167675304
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.396008,Oanda,5000000,CAD/SGD,CAD/JPY,SGD/JPY,0.003032912841327784,15164.56420663892
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.418119,Oanda,5000000,AUD/CHF,AUD/JPY,CHF/JPY,0.002986621346433571,14933.106732167857
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.440276,Oanda,5000000,AUD/NZD,AUD/JPY,NZD/JPY,0.002077522111356034,10387.61055678017
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.463577,Oanda,3000000,CHF/ZAR,CHF/JPY,ZAR/JPY,0.0046653617651679635,13996.08529550389
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.486493,Oanda,10000000,NZD/USD,NZD/JPY,USD/JPY,0.002302141190796192,23021.41190796192
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.509768,Oanda,5000000,EUR/USD,EUR/CZK,USD/CZK,0.004606934651849359,23034.673259246796
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.531704,Oanda,10000000,GBP/AUD,GBP/CAD,AUD/CAD,0.0014820180121903892,14820.180121903892
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.555727,Oanda,5000000,CHF/HKD,CHF/JPY,HKD/JPY,0.0021010839002912896,10505.419501456448
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.578290,Oanda,5000000,NZD/CHF,NZD/JPY,CHF/JPY,0.0036423300147132576,18211.65007356629
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.599775,Oanda,10000000,GBP/USD,GBP/CAD,USD/CAD,0.0009944748755412736,9944.748755412737
2020-08-03,17:16:07.395900,2020-08-03 17:16:09.622223,Oanda,5000000,NZD/CAD,NZD/JPY,CAD/JPY,0.0019024586300988577,9512.293150494288
